
########## RESULTS ##########

Round number: 0                   Ave money: $5000.11          Ave winnings: $0.11
Round number: 600                 Ave money: $4904.10          Ave winnings: $-95.90
Round number: 1200                Ave money: $4809.12          Ave winnings: $-190.88
Round number: 1800                Ave money: $4713.32          Ave winnings: $-286.68
Round number: 2400                Ave money: $4613.12          Ave winnings: $-386.88
Round number: 3000                Ave money: $4527.82          Ave winnings: $-472.18
Round number: 3600                Ave money: $4428.55          Ave winnings: $-571.45
Round number: 4200                Ave money: $4335.12          Ave winnings: $-664.88
Round number: 4800                Ave money: $4241.58          Ave winnings: $-758.42
Round number: 5400                Ave money: $4158.60          Ave winnings: $-841.40
Round number: 6000                Ave money: $4054.02          Ave winnings: $-945.98
Round number: 6600                Ave money: $3961.91          Ave winnings: $-1038.09
Round number: 7200                Ave money: $3883.09          Ave winnings: $-1116.91
Round number: 7800                Ave money: $3788.54          Ave winnings: $-1211.46
Round number: 8400                Ave money: $3706.96          Ave winnings: $-1293.04
Round number: 9000                Ave money: $3643.43          Ave winnings: $-1356.57
Round number: 9600                Ave money: $3558.24          Ave winnings: $-1441.76
Round number: 10200               Ave money: $3481.76          Ave winnings: $-1518.24
Round number: 10800               Ave money: $3416.77          Ave winnings: $-1583.23
Round number: 11400               Ave money: $3344.46          Ave winnings: $-1655.54
Round number: 12000               Ave money: $3274.55          Ave winnings: $-1725.45
Round number: 12600               Ave money: $3221.53          Ave winnings: $-1778.47
Round number: 13200               Ave money: $3152.45          Ave winnings: $-1847.55
Round number: 13800               Ave money: $3084.80          Ave winnings: $-1915.20
Round number: 14400               Ave money: $3027.18          Ave winnings: $-1972.82
Round number: 15000               Ave money: $2957.57          Ave winnings: $-2042.43
Round number: 15600               Ave money: $2900.15          Ave winnings: $-2099.85
Round number: 16200               Ave money: $2838.39          Ave winnings: $-2161.61
Round number: 16800               Ave money: $2787.36          Ave winnings: $-2212.64
Round number: 17400               Ave money: $2732.40          Ave winnings: $-2267.60
Round number: 18000               Ave money: $2676.62          Ave winnings: $-2323.38
Round number: 18600               Ave money: $2629.94          Ave winnings: $-2370.06
Round number: 19200               Ave money: $2575.19          Ave winnings: $-2424.81
Round number: 19800               Ave money: $2526.51          Ave winnings: $-2473.49
Round number: 20400               Ave money: $2474.84          Ave winnings: $-2525.16
Round number: 21000               Ave money: $2424.10          Ave winnings: $-2575.90
Round number: 21600               Ave money: $2377.83          Ave winnings: $-2622.17
Round number: 22200               Ave money: $2331.63          Ave winnings: $-2668.37
Round number: 22800               Ave money: $2291.75          Ave winnings: $-2708.25
Round number: 23400               Ave money: $2246.88          Ave winnings: $-2753.12
Round number: 24000               Ave money: $2200.95          Ave winnings: $-2799.05
Round number: 24600               Ave money: $2155.68          Ave winnings: $-2844.32
Round number: 25200               Ave money: $2104.86          Ave winnings: $-2895.14
Round number: 25800               Ave money: $2073.61          Ave winnings: $-2926.39
Round number: 26400               Ave money: $2032.49          Ave winnings: $-2967.51
Round number: 27000               Ave money: $1991.89          Ave winnings: $-3008.11
Round number: 27600               Ave money: $1955.44          Ave winnings: $-3044.56
Round number: 28200               Ave money: $1921.81          Ave winnings: $-3078.19
Round number: 28800               Ave money: $1884.46          Ave winnings: $-3115.54
Round number: 29400               Ave money: $1848.13          Ave winnings: $-3151.87
Round number: 30000               Ave money: $1818.53          Ave winnings: $-3181.47
Round number: 30600               Ave money: $1789.37          Ave winnings: $-3210.63
Round number: 31200               Ave money: $1752.77          Ave winnings: $-3247.23
Round number: 31800               Ave money: $1721.58          Ave winnings: $-3278.42
Round number: 32400               Ave money: $1688.14          Ave winnings: $-3311.86
Round number: 33000               Ave money: $1658.02          Ave winnings: $-3341.98
