
########## RESULTS ##########

Round number: 0                   Ave money: $4999.94          Ave winnings: $-0.06
Round number: 2                   Ave money: $4999.26          Ave winnings: $-0.74
Round number: 4                   Ave money: $4999.37          Ave winnings: $-0.63
Round number: 6                   Ave money: $4999.17          Ave winnings: $-0.83
Round number: 8                   Ave money: $4998.57          Ave winnings: $-1.43
Round number: 10                  Ave money: $4998.37          Ave winnings: $-1.63
Round number: 12                  Ave money: $4998.37          Ave winnings: $-1.63
Round number: 14                  Ave money: $4998.07          Ave winnings: $-1.93
Round number: 16                  Ave money: $4998.12          Ave winnings: $-1.88
Round number: 18                  Ave money: $4997.62          Ave winnings: $-2.38
Round number: 20                  Ave money: $4996.48          Ave winnings: $-3.52
Round number: 22                  Ave money: $4996.22          Ave winnings: $-3.78
Round number: 24                  Ave money: $4995.99          Ave winnings: $-4.01
Round number: 26                  Ave money: $4995.56          Ave winnings: $-4.44
Round number: 28                  Ave money: $4994.42          Ave winnings: $-5.58
Round number: 30                  Ave money: $4994.22          Ave winnings: $-5.78
Round number: 32                  Ave money: $4994.08          Ave winnings: $-5.92
Round number: 34                  Ave money: $4993.50          Ave winnings: $-6.50
Round number: 36                  Ave money: $4993.43          Ave winnings: $-6.57
Round number: 38                  Ave money: $4993.27          Ave winnings: $-6.73
Round number: 40                  Ave money: $4993.50          Ave winnings: $-6.50
Round number: 42                  Ave money: $4993.15          Ave winnings: $-6.85
Round number: 44                  Ave money: $4992.26          Ave winnings: $-7.74
Round number: 46                  Ave money: $4991.91          Ave winnings: $-8.09
Round number: 48                  Ave money: $4991.91          Ave winnings: $-8.09
Round number: 50                  Ave money: $4991.70          Ave winnings: $-8.30
Round number: 52                  Ave money: $4991.65          Ave winnings: $-8.35
Round number: 54                  Ave money: $4991.16          Ave winnings: $-8.84
Round number: 56                  Ave money: $4990.97          Ave winnings: $-9.03
Round number: 58                  Ave money: $4990.31          Ave winnings: $-9.69
Round number: 60                  Ave money: $4990.43          Ave winnings: $-9.57
Round number: 62                  Ave money: $4990.22          Ave winnings: $-9.78
Round number: 64                  Ave money: $4990.52          Ave winnings: $-9.48
Round number: 66                  Ave money: $4989.40          Ave winnings: $-10.60
Round number: 68                  Ave money: $4989.90          Ave winnings: $-10.10
Round number: 70                  Ave money: $4989.60          Ave winnings: $-10.40
Round number: 72                  Ave money: $4989.19          Ave winnings: $-10.81
Round number: 74                  Ave money: $4988.69          Ave winnings: $-11.31
Round number: 76                  Ave money: $4987.88          Ave winnings: $-12.12
