
########## RESULTS ##########

Round number: 0                   Ave money: $4999.82          Ave winnings: $-0.18
Round number: 300                 Ave money: $4952.52          Ave winnings: $-47.48
Round number: 600                 Ave money: $4905.07          Ave winnings: $-94.93
Round number: 900                 Ave money: $4856.47          Ave winnings: $-143.53
Round number: 1200                Ave money: $4808.01          Ave winnings: $-191.99
Round number: 1500                Ave money: $4758.70          Ave winnings: $-241.30
Round number: 1800                Ave money: $4705.43          Ave winnings: $-294.57
Round number: 2100                Ave money: $4650.14          Ave winnings: $-349.86
Round number: 2400                Ave money: $4593.51          Ave winnings: $-406.49
Round number: 2700                Ave money: $4547.63          Ave winnings: $-452.37
Round number: 3000                Ave money: $4491.24          Ave winnings: $-508.76
Round number: 3300                Ave money: $4441.63          Ave winnings: $-558.37
Round number: 3600                Ave money: $4390.81          Ave winnings: $-609.19
Round number: 3900                Ave money: $4347.59          Ave winnings: $-652.41
Round number: 4200                Ave money: $4294.06          Ave winnings: $-705.94
Round number: 4500                Ave money: $4249.53          Ave winnings: $-750.47
Round number: 4800                Ave money: $4204.15          Ave winnings: $-795.85
Round number: 5100                Ave money: $4148.68          Ave winnings: $-851.32
Round number: 5400                Ave money: $4106.52          Ave winnings: $-893.48
Round number: 5700                Ave money: $4058.36          Ave winnings: $-941.64
Round number: 6000                Ave money: $4015.47          Ave winnings: $-984.53
Round number: 6300                Ave money: $3972.99          Ave winnings: $-1027.01
Round number: 6600                Ave money: $3926.27          Ave winnings: $-1073.73
Round number: 6900                Ave money: $3879.63          Ave winnings: $-1120.37
Round number: 7200                Ave money: $3835.89          Ave winnings: $-1164.11
Round number: 7500                Ave money: $3791.14          Ave winnings: $-1208.86
Round number: 7800                Ave money: $3750.34          Ave winnings: $-1249.66
Round number: 8100                Ave money: $3715.64          Ave winnings: $-1284.36
Round number: 8400                Ave money: $3671.01          Ave winnings: $-1328.99
Round number: 8700                Ave money: $3631.48          Ave winnings: $-1368.52
Round number: 9000                Ave money: $3586.94          Ave winnings: $-1413.06
Round number: 9300                Ave money: $3547.60          Ave winnings: $-1452.40
Round number: 9600                Ave money: $3512.18          Ave winnings: $-1487.82
Round number: 9900                Ave money: $3475.67          Ave winnings: $-1524.33
Round number: 10200               Ave money: $3437.89          Ave winnings: $-1562.11
Round number: 10500               Ave money: $3399.34          Ave winnings: $-1600.66
Round number: 10800               Ave money: $3356.27          Ave winnings: $-1643.73
Round number: 11100               Ave money: $3320.58          Ave winnings: $-1679.42
Round number: 11400               Ave money: $3282.14          Ave winnings: $-1717.86
Round number: 11700               Ave money: $3243.68          Ave winnings: $-1756.32
Round number: 12000               Ave money: $3209.08          Ave winnings: $-1790.92
Round number: 12300               Ave money: $3168.45          Ave winnings: $-1831.55
Round number: 12600               Ave money: $3139.60          Ave winnings: $-1860.40
Round number: 12900               Ave money: $3108.71          Ave winnings: $-1891.29
Round number: 13200               Ave money: $3075.21          Ave winnings: $-1924.79
Round number: 13500               Ave money: $3046.76          Ave winnings: $-1953.24
Round number: 13800               Ave money: $3018.61          Ave winnings: $-1981.39
Round number: 14100               Ave money: $2988.22          Ave winnings: $-2011.78
Round number: 14400               Ave money: $2958.03          Ave winnings: $-2041.97
Round number: 14700               Ave money: $2927.45          Ave winnings: $-2072.55
Round number: 15000               Ave money: $2897.90          Ave winnings: $-2102.10
Round number: 15300               Ave money: $2868.67          Ave winnings: $-2131.33
