
########## RESULTS ##########

Round number: 0                   Ave money: $500.15          Ave winnings: $0.15
Round number: 2                   Ave money: $499.23          Ave winnings: $-0.77
Round number: 4                   Ave money: $499.16          Ave winnings: $-0.84
Round number: 6                   Ave money: $498.57          Ave winnings: $-1.43
Round number: 8                   Ave money: $497.93          Ave winnings: $-2.07
Round number: 10                  Ave money: $496.77          Ave winnings: $-3.23
Round number: 12                  Ave money: $497.19          Ave winnings: $-2.81
Round number: 14                  Ave money: $496.55          Ave winnings: $-3.45
Round number: 16                  Ave money: $496.33          Ave winnings: $-3.67
Round number: 18                  Ave money: $496.00          Ave winnings: $-4.00
Round number: 20                  Ave money: $495.19          Ave winnings: $-4.81
Round number: 22                  Ave money: $494.85          Ave winnings: $-5.15
Round number: 24                  Ave money: $494.29          Ave winnings: $-5.71
Round number: 26                  Ave money: $493.93          Ave winnings: $-6.07
Round number: 28                  Ave money: $493.68          Ave winnings: $-6.32
Round number: 30                  Ave money: $493.12          Ave winnings: $-6.88
Round number: 32                  Ave money: $493.76          Ave winnings: $-6.24
Round number: 34                  Ave money: $493.90          Ave winnings: $-6.10
Round number: 36                  Ave money: $493.51          Ave winnings: $-6.49
Round number: 38                  Ave money: $493.72          Ave winnings: $-6.28
Round number: 40                  Ave money: $492.63          Ave winnings: $-7.37
Round number: 42                  Ave money: $492.56          Ave winnings: $-7.44
Round number: 44                  Ave money: $491.95          Ave winnings: $-8.05
Round number: 46                  Ave money: $491.66          Ave winnings: $-8.34
Round number: 48                  Ave money: $491.86          Ave winnings: $-8.14
Round number: 50                  Ave money: $491.34          Ave winnings: $-8.66
Round number: 52                  Ave money: $491.44          Ave winnings: $-8.56
Round number: 54                  Ave money: $490.95          Ave winnings: $-9.05
Round number: 56                  Ave money: $490.60          Ave winnings: $-9.40
Round number: 58                  Ave money: $489.94          Ave winnings: $-10.06
Round number: 60                  Ave money: $489.76          Ave winnings: $-10.24
Round number: 62                  Ave money: $490.15          Ave winnings: $-9.85
Round number: 64                  Ave money: $489.68          Ave winnings: $-10.32
Round number: 66                  Ave money: $489.36          Ave winnings: $-10.64
Round number: 68                  Ave money: $489.05          Ave winnings: $-10.95
Round number: 70                  Ave money: $489.25          Ave winnings: $-10.75
Round number: 72                  Ave money: $488.69          Ave winnings: $-11.31
Round number: 74                  Ave money: $488.27          Ave winnings: $-11.73
Round number: 76                  Ave money: $487.22          Ave winnings: $-12.78
Round number: 78                  Ave money: $486.90          Ave winnings: $-13.10
Round number: 80                  Ave money: $486.21          Ave winnings: $-13.79
Round number: 82                  Ave money: $485.67          Ave winnings: $-14.33
Round number: 84                  Ave money: $484.57          Ave winnings: $-15.43
Round number: 86                  Ave money: $484.37          Ave winnings: $-15.63
Round number: 88                  Ave money: $484.23          Ave winnings: $-15.77
Round number: 90                  Ave money: $483.55          Ave winnings: $-16.45
Round number: 92                  Ave money: $483.50          Ave winnings: $-16.50
Round number: 94                  Ave money: $483.30          Ave winnings: $-16.70
Round number: 96                  Ave money: $483.13          Ave winnings: $-16.87
Round number: 98                  Ave money: $483.28          Ave winnings: $-16.72
Round number: 100                 Ave money: $482.61          Ave winnings: $-17.39
Round number: 102                 Ave money: $482.55          Ave winnings: $-17.45
Round number: 104                 Ave money: $481.84          Ave winnings: $-18.16
Round number: 106                 Ave money: $480.85          Ave winnings: $-19.15
Round number: 108                 Ave money: $480.91          Ave winnings: $-19.09
Round number: 110                 Ave money: $480.55          Ave winnings: $-19.45
Round number: 112                 Ave money: $480.84          Ave winnings: $-19.16
Round number: 114                 Ave money: $480.78          Ave winnings: $-19.22
Round number: 116                 Ave money: $480.54          Ave winnings: $-19.46
Round number: 118                 Ave money: $480.54          Ave winnings: $-19.46
Round number: 120                 Ave money: $480.50          Ave winnings: $-19.50
Round number: 122                 Ave money: $480.00          Ave winnings: $-20.00
Round number: 124                 Ave money: $479.48          Ave winnings: $-20.52
Round number: 126                 Ave money: $479.09          Ave winnings: $-20.91
Round number: 128                 Ave money: $478.61          Ave winnings: $-21.39
Round number: 130                 Ave money: $478.93          Ave winnings: $-21.07
Round number: 132                 Ave money: $478.83          Ave winnings: $-21.17
Round number: 134                 Ave money: $478.56          Ave winnings: $-21.44
Round number: 136                 Ave money: $478.07          Ave winnings: $-21.93
Round number: 138                 Ave money: $477.50          Ave winnings: $-22.50
Round number: 140                 Ave money: $477.33          Ave winnings: $-22.67
Round number: 142                 Ave money: $477.04          Ave winnings: $-22.96
Round number: 144                 Ave money: $476.77          Ave winnings: $-23.23
Round number: 146                 Ave money: $476.56          Ave winnings: $-23.44
Round number: 148                 Ave money: $476.50          Ave winnings: $-23.50
Round number: 150                 Ave money: $475.39          Ave winnings: $-24.61
Round number: 152                 Ave money: $475.24          Ave winnings: $-24.76
Round number: 154                 Ave money: $474.94          Ave winnings: $-25.06
Round number: 156                 Ave money: $475.26          Ave winnings: $-24.74
Round number: 158                 Ave money: $474.43          Ave winnings: $-25.57
Round number: 160                 Ave money: $474.23          Ave winnings: $-25.77
Round number: 162                 Ave money: $474.14          Ave winnings: $-25.86
Round number: 164                 Ave money: $473.90          Ave winnings: $-26.10
Round number: 166                 Ave money: $473.74          Ave winnings: $-26.26
Round number: 168                 Ave money: $473.12          Ave winnings: $-26.88
Round number: 170                 Ave money: $472.80          Ave winnings: $-27.20
Round number: 172                 Ave money: $472.42          Ave winnings: $-27.58
Round number: 174                 Ave money: $472.65          Ave winnings: $-27.35
Round number: 176                 Ave money: $472.53          Ave winnings: $-27.47
Round number: 178                 Ave money: $472.08          Ave winnings: $-27.92
Round number: 180                 Ave money: $471.96          Ave winnings: $-28.04
Round number: 182                 Ave money: $471.34          Ave winnings: $-28.66
Round number: 184                 Ave money: $470.93          Ave winnings: $-29.07
Round number: 186                 Ave money: $470.45          Ave winnings: $-29.55
Round number: 188                 Ave money: $470.11          Ave winnings: $-29.89
Round number: 190                 Ave money: $469.52          Ave winnings: $-30.48
Round number: 192                 Ave money: $469.50          Ave winnings: $-30.50
Round number: 194                 Ave money: $468.80          Ave winnings: $-31.20
Round number: 196                 Ave money: $468.46          Ave winnings: $-31.54
Round number: 198                 Ave money: $468.07          Ave winnings: $-31.93
Round number: 200                 Ave money: $468.00          Ave winnings: $-32.00
Round number: 202                 Ave money: $467.80          Ave winnings: $-32.20
Round number: 204                 Ave money: $468.05          Ave winnings: $-31.95
Round number: 206                 Ave money: $468.61          Ave winnings: $-31.39
Round number: 208                 Ave money: $467.98          Ave winnings: $-32.02
Round number: 210                 Ave money: $467.72          Ave winnings: $-32.28
Round number: 212                 Ave money: $468.08          Ave winnings: $-31.92
Round number: 214                 Ave money: $467.87          Ave winnings: $-32.13
Round number: 216                 Ave money: $467.66          Ave winnings: $-32.34
Round number: 218                 Ave money: $467.73          Ave winnings: $-32.27
Round number: 220                 Ave money: $467.85          Ave winnings: $-32.15
Round number: 222                 Ave money: $467.32          Ave winnings: $-32.68
Round number: 224                 Ave money: $466.97          Ave winnings: $-33.03
Round number: 226                 Ave money: $466.62          Ave winnings: $-33.38
Round number: 228                 Ave money: $466.36          Ave winnings: $-33.64
Round number: 230                 Ave money: $465.69          Ave winnings: $-34.31
Round number: 232                 Ave money: $465.38          Ave winnings: $-34.62
Round number: 234                 Ave money: $464.53          Ave winnings: $-35.47
Round number: 236                 Ave money: $464.35          Ave winnings: $-35.65
Round number: 238                 Ave money: $464.36          Ave winnings: $-35.64
Round number: 240                 Ave money: $464.07          Ave winnings: $-35.93
Round number: 242                 Ave money: $463.50          Ave winnings: $-36.50
